year;id;title;total value;fot value;transport value;rent value;gph value;events value;royalties value;total share;fot share;transport share;rent share;gph share;events share;royalties share;total avgShare;fot avgShare;transport avgShare;rent avgShare;gph avgShare;events avgShare;royalties avgShare
2025;7701046341;"""Московский театр ""Современник""";348 285 229,65 ;137 988 576,37 ;6 810 429,17 ;11 548 321,96 ;42 929 949,30 ;0,00 ;89 752 474,61 ;1,000;0,396;0,020;0,033;0,123;0,000;0,258;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7707086767;"ГБУК ""МГАТО""";625 566 044,32 ;253 292 974,51 ;2 841 450,00 ;610 365,62 ;56 954 529,88 ;0,00 ;214 599 104,05 ;1,000;0,405;0,005;0,001;0,091;0,000;0,343;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";188 354 541,62 ;67 446 953,00 ;1 406 624,50 ;5 644 278,00 ;36 900 283,75 ;0,00 ;13 469 917,58 ;1,000;0,358;0,007;0,030;0,196;0,000;0,072;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7703014835;"ГБУК ""Московский театр ""На досках""";3 533 127,10 ;3 336 850,30 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;1,000;0,944;0,000;0,000;0,000;0,000;0,000;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7701020760;"ГБУК ""МТК ""Жар-птица""";875 068,25 ;582 476,44 ;0,00 ;15 422,50 ;0,00 ;0,00 ;0,00 ;1,000;0,666;0,000;0,018;0,000;0,000;0,000;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";25 780 887,64 ;15 549 189,35 ;30 072,30 ;336 012,72 ;2 098 573,00 ;0,00 ;570 161,93 ;1,000;0,603;0,001;0,013;0,081;0,000;0,022;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7707120908;"ГБУК г. Москвы ""ДМТЮА""";78 349 144,84 ;52 509 325,11 ;2 431 844,00 ;861 825,11 ;7 229 138,58 ;0,00 ;6 307 438,48 ;1,000;0,670;0,031;0,011;0,092;0,000;0,081;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7710081367;"ГБУК г. Москвы ""МАМТ""";664 716 388,07 ;426 498 722,09 ;4 394 063,43 ;1 926 341,94 ;0,00 ;0,00 ;0,00 ;1,000;0,642;0,007;0,003;0,000;0,000;0,000;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";110 303 927,00 ;18 173 476,22 ;16 873 780,46 ;261 845,88 ;14 390 126,60 ;3 951 555,86 ;1 522 277,40 ;1,000;0,165;0,153;0,002;0,130;0,036;0,014;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";197 036 000,01 ;105 675 661,05 ;1 708 749,70 ;15 325 984,36 ;36 258 824,10 ;0,00 ;6 173 584,04 ;1,000;0,536;0,009;0,078;0,184;0,000;0,031;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7716149741;"ГБУК г. Москвы ""МГИЭТ""";8 347 539,29 ;6 241 454,81 ;0,00 ;0,00 ;129 903,50 ;0,00 ;409 109,30 ;1,000;0,748;0,000;0,000;0,016;0,000;0,049;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";6 881 450,36 ;5 076 711,29 ;0,00 ;0,00 ;0,00 ;206 293,50 ;1 143 290,50 ;1,000;0,738;0,000;0,000;0,000;0,030;0,166;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";174 039 939,57 ;74 351 535,00 ;107 565,20 ;1 269 000,00 ;7 456 251,25 ;0,00 ;30 182 998,11 ;1,000;0,427;0,001;0,007;0,043;0,000;0,173;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";327 593 867,22 ;165 192 170,81 ;6 484 188,54 ;966 120,50 ;13 949 876,60 ;0,00 ;22 256 996,09 ;1,000;0,504;0,020;0,003;0,043;0,000;0,068;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";74 216 444,54 ;31 025 265,59 ;837 273,80 ;16 516 694,99 ;4 229 604,69 ;0,00 ;486 125,03 ;1,000;0,418;0,011;0,223;0,057;0,000;0,007;1,000;0,537;0,012;0,017;0,053;0,007;0,114
2025;7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";59 037 921,09 ;24 971 932,73 ;435 940,00 ;5 404 818,00 ;3 984 799,35 ;2 607 231,57 ;8 874 101,37 ;1,000;0,423;0,007;0,092;0,067;0,044;0,150;1,000;0,537;0,012;0,017;0,053;0,007;0,114
