id;title;year;total value;fot value;transport value;rent value;gph value;events value;royalties value;total share;fot share;transport share;rent share;gph share;events share;royalties share;total avgShare;fot avgShare;transport avgShare;rent avgShare;gph avgShare;events avgShare;royalties avgShare
7701046341;"""Московский театр ""Современник""";2025;348 285 230;137 988 576;6 810 429;11 548 322;42 929 949;0;89 752 475;1;0,396194167;0,019554172;0,033157656;0,123260896;0;0,257698194;1;0,537;0,012;0,017;0,053;0,007;0,114
7707086767;"ГБУК ""МГАТО""";2025;625 566 044;253 292 975;2 841 450;610 366;56 954 530;0;214 599 104;1;0,404902051;0,004542206;0,000975701;0,091044791;0;0,343047878;1;0,537;0,012;0,017;0,053;0,007;0,114
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";2025;188 354 542;67 446 953;1 406 625;5 644 278;36 900 284;0;13 469 918;1;0,35808509;0,007467962;0,029966243;0,195908649;0;0,071513633;1;0,537;0,012;0,017;0,053;0,007;0,114
7703014835;"ГБУК ""Московский театр ""На досках""";2025;3 533 127;3 336 850;0;0;0;0;0;1;0,94444672;0;0;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7701020760;"ГБУК ""МТК ""Жар-птица""";2025;875 068;582 476;0;15 423;0;0;0;1;0,66563544;0;0,01762434;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";2025;25 780 888;15 549 189;30 072;336 013;2 098 573;0;570 162;1;0,603128549;0,001166457;0,013033404;0,081400339;0;0,022115683;1;0,537;0,012;0,017;0,053;0,007;0,114
7707120908;"ГБУК г. Москвы ""ДМТЮА""";2025;78 349 145;52 509 325;2 431 844;861 825;7 229 139;0;6 307 438;1;0,670196531;0,031038552;0,010999802;0,092268251;0;0,080504242;1;0,537;0,012;0,017;0,053;0,007;0,114
7710081367;"ГБУК г. Москвы ""МАМТ""";2025;664 716 388;426 498 722;4 394 063;1 926 342;0;0;0;1;0,641625105;0,006610433;0,002897991;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";2025;110 303 927;18 173 476;16 873 780;261 846;14 390 127;3 951 556;1 522 277;1;0,164758198;0,152975337;0,002373858;0,130458878;0,035824254;0,013800754;1;0,537;0,012;0,017;0,053;0,007;0,114
7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";2025;197 036 000;105 675 661;1 708 750;15 325 984;36 258 824;0;6 173 584;1;0,536326666;0,008672272;0,077782661;0,184021316;0;0,031332264;1;0,537;0,012;0,017;0,053;0,007;0,114
7716149741;"ГБУК г. Москвы ""МГИЭТ""";2025;8 347 539;6 241 455;0;0;129 904;0;409 109;1;0,747699962;0;0;0,015561891;0;0,049009569;1;0,537;0,012;0,017;0,053;0,007;0,114
7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";2025;6 881 450;5 076 711;0;0;0;206 294;1 143 291;1;0,737738562;0;0;0;0,029978201;0,166140921;1;0,537;0,012;0,017;0,053;0,007;0,114
7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";2025;174 039 940;74 351 535;107 565;1 269 000;7 456 251;0;30 182 998;1;0,427209612;0,000618049;0,00729143;0,042842185;0;0,173425699;1;0,537;0,012;0,017;0,053;0,007;0,114
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";2025;327 593 867;165 192 171;6 484 189;966 121;13 949 877;0;22 256 996;1;0,504259046;0,019793376;0,002949141;0,042582838;0;0,06794082;1;0,537;0,012;0,017;0,053;0,007;0,114
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";2025;74 216 445;31 025 266;837 274;16 516 695;4 229 605;0;486 125;1;0,418037617;0,011281513;0,222547646;0,056990128;0;0,006550099;1;0,537;0,012;0,017;0,053;0,007;0,114
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";2025;59 037 921;24 971 933;435 940;5 404 818;3 984 799;2 607 232;8 874 101;1;0,422981234;0,007384068;0,091548244;0,067495591;0,044161981;0,150311888;1;0,537;0,012;0,017;0,053;0,007;0,114
7719013636;"ГБУК г. Москвы ""МДТТ""";2025;11 989 644;6 090 915;28 941;0;0;251 719;1 403 625;1;0,508014708;0,00241381;0;0;0,020994685;0,117069816;1;0,537;0,012;0,017;0,053;0,007;0,114
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";2025;242 078 723;173 293 261;4 595 265;3 452 010;548 778;0;12 972 909;1;0,715854986;0,018982522;0,014259865;0,002266939;0;0,053589627;1;0,537;0,012;0,017;0,053;0,007;0,114
7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";2025;5 209 054;3 630 627;0;0;0;0;392 116;1;0,696983881;0;0;0;0;0,075275763;1;0,537;0,012;0,017;0,053;0,007;0,114
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";2025;316 128 139;211 547 383;4 559 786;4 010 532;9 322 883;0;24 263 599;1;0,669182387;0,014423852;0,012686414;0,029490836;0;0,076752418;1;0,537;0,012;0,017;0,053;0,007;0,114
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";2025;475 889 135;254 647 932;453 962;562 550;858 844;4 148 307;28 441 549;1;0,535099277;0,000953924;0,001182104;0,001804714;0,008716962;0,059765073;1;0,537;0,012;0,017;0,053;0,007;0,114
7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";2025;441 419 452;269 350 621;5 138 938;0;10 038 873;0;115 493 055;1;0,610192008;0,011641847;0;0,022742253;0;0,261640158;1;0,537;0,012;0,017;0,053;0,007;0,114
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";2025;50 240 214;16 682 561;262 847;60 094;1 227 647;0;10 637 914;1;0,332055931;0,005231795;0,001196129;0,024435535;0;0,211741025;1;0,537;0,012;0,017;0,053;0,007;0,114
7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";2025;3 305 409;2 750 980;0;0;159 900;0;0;1;0,832266211;0;0;0,04837526;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
