ID_театра;Название премьеры;Площадка;Дата начала;Дата окончания;Ссылка на премьеру
7703035553;Буря ;Основная сцена;09.09.2025;20.12.2025;https://teatrpushkin.ru/spektakli/detail/burya/
7703035553;Сделка;Основная сцена;01.03.2025;28.11.2025;https://teatrpushkin.ru/spektakli/detail/sdelka/
7707062124;Ненаглядная сторона;Основная сцена;07.05.2025;08.05.2025;https://lenkom.ru/shows/nenaglyadnaya-storona 
7707062124;ГОГОЛЬИЛИАДА;Основная сцена;13.03.2025;14.03.2025;https://lenkom.ru/shows/gogoliliada
7703063504;Похождения повесы;Зал «Стравинский»;08.07.2025;09.07.2025;https://www.helikon.ru/ru/performances/pohozhdeniya-povesy.html
7704060947;Ревизор;Основная сцена;22.06.2025;23.06.2025;https://mikhalkov12.ru/performances/repertuar/revizor/
7704060947;Перед рассветом;Основная сцена;11.06.2025;12.06.2025;https://mikhalkov12.ru/performances/repertuar/pered-rassvetom/
7710009515;В самое сердце;Малая сцена;25.04.2025;26.04.2025;https://electrotheatre.ru/repertoire/spectacle/1202
7707086767;Золушка;Основная сцена;07.11.2025;08.11.2025;https://mosoperetta.ru/repertuar/zolushka1/
7707086767;ФИАЛКА МОНМАРТРА;Основная сцена;24.09.2025;25.09.2025;https://mosoperetta.ru/repertuar/fialka-monmartra1/
7710040730;Женитьба;Основная сцена;18.04.2025;19.04.2025;https://mossoveta.ru/performance/Genitba/
7710040730;Щастье;Основная сцена;24.01.2025;25.01.2025;https://mossoveta.ru/performance/schastie/
7710002492;Доходное место;Основная сцена;25.06.2025;26.06.2025;https://satire.ru/repertoire/dohodnoe-mesto
7710002492;Скупой, или школа лжи;Основная сцена;04.04.2025;05.04.2025;https://satire.ru/repertoire/skupoy-ili-shkola-lzhi
7710002492;Маленькие супружеские преступления;Чердак Сатиры;09.06.2025;10.06.2025;https://satire.ru/repertoire/malenkie-supruzheskie-prestupleniya
7710002492;Игроки;Основная сцена;31.10.2025;01.11.2025;https://satire.ru/repertoire/igroki
7710002492;Женитьба;Основная сцена;11.09.2025;12.09.2025;https://satire.ru/repertoire/zhenitba
7725054895;Малахитова шкатулка;Большая сцена;18.09.2025;19.09.2025;https://teatrium.ru/repertoire/malakhitovaya-shkatulka/
7710081367;Отражения. Королевы вариаций;Основная сцена;10.09.2025;11.09.2025;https://stanmus.ru/shows/otrazheniya-korolevy-variatsij/?date=11.09.25-19:00
7710081367;Андре Шенье;Основная сцена;06.03.2025;07.03.2025;https://stanmus.ru/shows/andre-shene/
7710081367;Анна Болейн;Основная сцена;24.06.2025;25.06.2025;https://stanmus.ru/shows/anna-bolejn/
