ID_театра;Название;venue_space_short_name_address;id;venue_space_short_name;Округ;Район;MapsLink;ЖАНР;Ближайшая станция метро;Удаленность от метро в минутах;наличие кафе при театре;наличие буфета при театре;наличие сувенирного магазина при театре;;;
7701046341;"""Московский театр ""Современник""";г. Москва, Чистопрудный бульвар, д.17, стр.1;106;Другая сцена;ЦАО;Басманный;https://yandex.ru/maps/-/CLEluQ5O;Драма;Чистые пруды;10;Нет;Да;Да;;;
7701046341;"""Московский театр ""Современник""";г. Москва, Чистопрудный бульвар, д.19, стр.1;117;Основная сцена;ЦАО;Басманный;https://yandex.ru/maps/-/CLEluY9Y;Драма;Чистые пруды;10;Нет;Да;Да;;;
7707086767;"ГБУК ""МГАТО""";г. Москва, ул. Кузнецкий мост д 4/3 стр.1;7;Дополнительная сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLEluB68;Мюзикл;Театральная;5;Нет;Да;Нет;;;
7707086767;"ГБУК ""МГАТО""";г. Москва, ул. Большая Дмитровка, д. 6;30;Основной зал;ЦАО;Тверской;https://yandex.ru/profile/-/CLEluJ3R;Мюзикл;Театральная;5;Нет;Да;Нет;;;
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";г. Москва, ул. Тверская, 5/6;63;Новая сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLElu6Y-;Драма;Охотный ряд;1;Да;Да;Да;;;
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";г. Москва, ул. Тверская, 5/6;64;Основная сцена;ЦАО;Тверской;https://yandex.ru/maps/-/CLElu6Y-;Драма;Охотный ряд;1;Да;Да;Да;;;
7703014835;"ГБУК ""Московский театр ""На досках""";г. Москва, ул. Садовая-Кудринская, д. 22/21, стр. 1-2;33;Основная сцена;ЦАО;Тверской;https://yandex.ru/profile/-/CLEluSy3;Драма;Баррикадная;10;Нет;Нет;Нет;;;
7701020760;"ГБУК ""МТК ""Жар-птица""";г. Москва, ул. Стромынка, д. 3;11;Основная сцена;ВАО;Сокольники;https://yandex.ru/profile/-/CLElu0mZ;Детский кукольный;Сокольники;3;Нет;Да;Нет;;;
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";г. Москва, Бауманская ул., д. 32 стр. 1;110;Зрительный зал;ЦАО;Басманный;https://yandex.ru/maps/-/CLEluHYt;Эстрада;Бауманская;3;Нет;Да;Нет;;;
7707120908;"ГБУК г. Москвы ""ДМТЮА""";г. Москва, ул. Макаренко, д.4, стр.1;107;Новая сцена на Чистых прудах;ЦАО;Басманный;https://yandex.ru/maps/-/CLEluPLb;Детский, мюзикл;Чистые пруды;15;Нет;Да;Нет;;;
7707120908;"ГБУК г. Москвы ""ДМТЮА""";г. Москва, ул. Земляной Вал, д.64/17;103;"Сцена ""Театр русской драмы""";ЦАО;Таганский;https://yandex.ru/maps/-/CLElyE5O;Детский, мюзикл;Таганская;7;Нет;Да;Нет;;;
