ИНН театра;Название театра;Сколько лет сущесвует театр;Наличие гастролей в течение года в России;Общее количество сотрудников из них;Административный персонал;Количество художественного персонала;Количество артистов;Прочий персонал;
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";75;Да;215;40;115;60;0;
7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";98;Да;332;42;5;92;193;
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";35;Да;501;44;7;242;208;
7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова"", Мастерская ""12""";6;Да;137;22;69;36;10;
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";90;Да;200;;;;200;
7707086767;"ГБУК ""МГАТО""; Московский театр оперетты";98;Нет;510;50;165;215;80;
7710040730;"ГБУК г.Москвы ""Театр им. Моссовета""";102;Да;336;127;30;50;129;
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";101;Да;408;60;6;127;215;
7725054895;"ГБУК г. Москвы ""Театр Терезы Дуровой""";32;Да;198;23;5;57;113;
7710081367;"ГБУК г. Москвы ""МАМТ""";107;Да;1050;;;;1050;
7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";80;Нет;321;75;;103;143;
7701046341;"""Московский театр ""Современник""";69;Да;293;49;;;244;
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";103;Да;349;34;6;84;225;
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";113;Нет;174;73;17;20;64;
7710130279;"ГБУК г. Москвы ""МТЮЗ""";105;Да;;;;;;
7703002886;"ГБУК г.Москвы ""Московский театр ""Мастерская П.Н. Фоменко""";;;;;;;;
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";61;Да;258;25;15;109;109;
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";38;Да;340;260;60;120;;
7730116466;"ГБУК г. Москвы ""ФЦ ""Москва""";18;Да;160;21;24;89;26;
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";100;Да;198;;;;198;
7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";25;Да;137;51;21;65;0;
7707120908;"ГБУК г. Москвы ""ДМТЮА""";36;Да;261;33;170;58;;
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";95;Да;171;28;120;;23;
7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";;;;;;;;
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";32;Да;184;35;5;47;97;
7704249283;"ГБУК МТ ""Новая Опера"" им. Е.В.Колобова";34;Да;718;99;13;352;254;
7707064139;"ГБУК г. Москвы ""Театр на Трубной""";36;Да;139;23;30;86;0;
7707085202;"ГБУК г. Москвы ""Театр Эрмитаж""";38;Да;109;31;9;69;0;
7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";38;Нет;117;;;;117;
7701117909;"ГБУК г. Москвы ""Театр Олега Табакова""";39;Да;301;120;140;41;0;
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";30;Нет;104;19;41;44;0;
7735026248;"ГБУК г.Москвы ""Ведогонь-театр""";26;Да;104;37;10;30;27;
7730519779;"ГБУК г. Москвы ""Театр кошек Куклачева""";;;;;;;;
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";100;Да;165;28;51;56;30;
7729217597;"ГБУК г. Москвы ""Театр на Юго-Западе""";48;Да;68;;;;68;
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";42;Да;126;;;;126;
7714035227;"ГБУК г. Москвы ""Цыганский театр ""Ромэн""";94;Да;110;16;39;55;0;
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";38;Нет;129;26;48;55;0;
7716028803;"ГБУК г. Москвы ""Новый драматический театр""";50;Да;96;12;48;36;0;
7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";38;Нет;90;;;;90;
7723316672;"ГБУК г. Москвы ""Театр Стаса Намина""";26;Нет;75;18;26;31;0;
7704198381;"ГБУК г. Москвы ""МГТМ п/р А. Рыбникова""";#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";36;Нет;65;14;14;18;19;
