year;id;title;total value;property value;tickets value;advertising value;touring value;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare;
2025;7701046341;"""Московский театр ""Современник""";402 002 836,77 ;9 818 170,89 ;375 524 492,66 ;0,00 ;10 900 000,00 ;1;0,024423138;0,934133937;0;0,027114237;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707086767;"ГБУК ""МГАТО""";688 823 232,49 ;5 441 131,89 ;668 292 634,10 ;0,00 ;0,00 ;1,713478537;0,013535058;1,662407757;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";197 904 520,90 ;32 304 702,64 ;143 516 468,72 ;0,00 ;5 400 000,00 ;0,492296329;0,08035939;0,357003622;0;0,013432741;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703014835;"ГБУК ""Московский театр ""На досках""";3 734 429,92 ;0,00 ;2 392 040,00 ;0,00 ;0,00 ;0,009289561;0;0,005950306;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701020760;"ГБУК ""МТК ""Жар-птица""";904 448,63 ;0,00 ;904 448,63 ;0,00 ;0,00 ;0,002249856;0;0,002249856;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";31 070 928,26 ;4 011 303,46 ;15 106 141,00 ;0,00 ;0,00 ;0,077290321;0,009978296;0,0375772;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707120908;"ГБУК г. Москвы ""ДМТЮА""";75 420 651,98 ;0,00 ;64 927 490,02 ;0,00 ;1 639 840,00 ;0,187612238;0;0,161510029;0;0,004079175;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710081367;"ГБУК г. Москвы ""МАМТ""";419 685 663,19 ;18 440 404,00 ;347 367 836,40 ;0,00 ;7 359 489,63 ;1,04398682;0,045871328;0,864092998;0;0,018307059;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";108 669 294,38 ;0,00 ;26 195 506,00 ;0,00 ;66 253 988,30 ;0,27031972;0;0,06516249;0;0,164809753;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";166 333 316,09 ;13 088 324,70 ;100 975 455,00 ;319 500,00 ;12 092 880,00 ;0,413761548;0,032557792;0,251180951;0,000794771;0,030081579;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7716149741;"ГБУК г. Москвы ""МГИЭТ""";9 955 169,54 ;640 320,00 ;8 971 138,66 ;0,00 ;0,00 ;0,024763929;0,001592825;0,022316108;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";6 123 699,52 ;147 703,90 ;5 988 026,00 ;0,00 ;0,00 ;0,015232976;0,00036742;0,014895482;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";138 915 667,42 ;1 464 225,65 ;136 936 384,80 ;0,00 ;0,00 ;0,345558923;0,003642327;0,340635369;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";318 605 362,23 ;13 412 609,00 ;287 890 850,00 ;0,00 ;3 900 000,00 ;0,79254506;0,033364464;0,716141339;0;0,009701424;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";37 553 368,26 ;26 532 936,84 ;11 506 866,75 ;0,00 ;0,00 ;0,09341568;0,066001865;0,028623845;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";65 126 996,00 ;13 169 084,80 ;46 127 902,40 ;5 100 000,00 ;610 980,00 ;0,16200631;0,032758686;0,114745216;0,012686478;0,00151984;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7719013636;"ГБУК г. Москвы ""МДТТ""";13 406 730,50 ;0,00 ;12 848 233,14 ;0,00 ;0,00 ;0,033349841;0;0,031960553;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";211 319 177,76 ;14 162 338,13 ;111 162 429,00 ;0,00 ;4 376 600,00 ;0,525665887;0,035229448;0,276521504;0;0,010886988;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";8 241 871,60 ;0,00 ;8 281 006,60 ;0,00 ;0,00 ;0,020502023;0;0,020599374;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";316 130 867,59 ;16 504 113,24 ;265 313 930,15 ;0,00 ;7 646 000,00 ;0,786389644;0,041054718;0,659980244;0;0,019019766;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";280 270 370,16 ;9 203 554,17 ;257 967 767,20 ;0,00 ;3 250 000,00 ;0,697185056;0,022894252;0,641706335;0;0,00808452;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";359 765 779,63 ;20 889 471,11 ;328 155 266,73 ;0,00 ;8 204 000,00 ;0,894933435;0,051963492;0,816300873;0;0,020407816;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";54 414 656,20 ;0,00 ;54 542 255,20 ;0,00 ;0,00 ;0,135358886;0;0,135676294;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";3 634 502,80 ;110 000,00 ;3 503 502,80 ;0,00 ;0,00 ;0,009040988;0,00027363;0,00871512;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";134 305 051,98 ;9 796 837,64 ;76 397 521,00 ;0,00 ;3 585 250,00 ;0,334089812;0,024370071;0,190042244;0;0,008918469;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";40 095 825,66 ;601 505,00 ;37 750 940,84 ;0,00 ;1 125 000,00 ;0,099740156;0,001496271;0,09390715;0;0,002798488;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7701109200;"ГБУК г. Москвы ""Московский театр кукол""";74 541 087,37 ;454 491,87 ;73 716 023,00 ;0,00 ;0,00 ;0,185424282;0,001130569;0,183371898;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";204 411 200,12 ;26 878 303,98 ;183 639 712,17 ;0,00 ;1 521 000,00 ;0,508481984;0,066860981;0,456811981;0;0,003783555;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";18 467 633,40 ;62 370,00 ;18 285 117,40 ;0,00 ;130 000,00 ;0,045939062;0,000155148;0,045485046;0;0,000323381;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";114 524 737,02 ;76 328 832,00 ;0,00 ;0,00 ;0,00 ;0,284885395;0,189871377;0;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";52 050 224,33 ;0,00 ;42 347 144,16 ;0,00 ;0,00 ;0,129477256;0;0,105340411;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
2025;7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";38 445 735,21 ;4 579 797,35 ;32 889 280,00 ;0,00 ;0,00 ;0,095635482;0,01139245;0,081813552;0;0;1;0,053348558;0,819731678;0,004586716;0,026350679;
